Date,Total Precipitation
2005-01,6.04
2005-02,6.48
2005-03,1.03
2005-04,0.72
2005-05,0.24
2005-06,0.00
2005-07,0.00
2005-08,T
2005-09,0.06
2005-10,1.29
2005-11,0.04
2005-12,0.32
2006-01,0.36
2006-02,1.74
2006-03,1.39
2006-04,1.58
2006-05,0.31
2006-06,0.01
2006-07,T
2006-08,0.00
2006-09,T
2006-10,T
2006-11,0.05
2006-12,0.64
2007-01,0.24
2007-02,0.46
2007-03,0.13
2007-04,0.55
2007-05,T
2007-06,0.00
2007-07,0.00
2007-08,0.00
2007-09,0.00
2007-10,0.00
2007-11,0.00
2007-12,0.00
2008-01,0.00
2008-02,0.00
2008-03,0.00
2008-04,0.00
2008-05,0.00
2008-06,0.00
2008-07,T
2008-08,T
2008-09,T
2008-10,T
2008-11,1.05
2008-12,2.56
2009-01,0.06
2009-02,2.92
2009-03,0.05
2009-04,0.01
2009-05,T
2009-06,0.04
2009-07,T
2009-08,0.00
2009-09,0.00
2009-10,0.03
2009-11,0.14
2009-12,2.22
2010-01,5.61
2010-02,1.43
2010-03,0.30
2010-04,0.97
2010-05,0.13
2010-06,T
2010-07,T
2010-08,0.00
2010-09,0.01
2010-10,0.29
2010-11,0.78
2010-12,6.88
2011-01,0.48
2011-02,1.93
2011-03,1.45
2011-04,0.04
2011-05,0.30
2011-06,0.01
2011-07,0.34
2011-08,0.00
2011-09,0.04
2011-10,0.53
2011-11,1.28
2011-12,0.49
2012-01,0.48
2012-02,0.56
2012-03,0.91
2012-04,0.87
2012-05,0.03
2012-06,0.00
2012-07,T
2012-08,0.01
2012-09,T
2012-10,0.24
2012-11,0.28
2012-12,1.38
2013-01,0.90
2013-02,0.62
2013-03,0.63
2013-04,T
2013-05,0.10
2013-06,0.00
2013-07,0.10
2013-08,0.06
2013-09,0.00
2013-10,0.31
2013-11,0.52
2013-12,0.16
2014-01,T
2014-02,1.10
2014-03,0.26
2014-04,0.36
2014-05,T
2014-06,0.00
2014-07,T
2014-08,0.14
2014-09,0.23
2014-10,T
2014-11,0.28
2014-12,2.95
2015-01,0.58
2015-02,0.73
2015-03,0.24
2015-04,0.37
2015-05,0.60
2015-06,T
2015-07,1.94
2015-08,0.01
2015-09,1.87
2015-10,0.21
2015-11,0.30
2015-12,0.66